haltung,pdf_file,pdf_kb,text_len,format,entries,readable
"15032-14648","20190515_15032-14648 DP.pdf",2098,6,Scan_or_Empty,0,False
"15033-15032","20190515_15033-15032 DP.pdf",1601,6,Scan_or_Empty,0,False
"15417-15031","20190515_15417-15031 DP.pdf",1319,0,Scan_or_Empty,0,False
"155226-155227","20250917_155226-155227.pdf",893,5134,Fretz_Format,4,True
"155227-155228","20250917_155227-155228.pdf",930,5666,Fretz_Format,4,True
"155228-155229","20250917_155228-155229.pdf",971,6893,Fretz_Format,4,True
"155229-77653","20250918_155229-77653.pdf",1323,11328,Fretz_Format,11,True
"163044-35873","20190515_163044-35873 DP.pdf",464,0,Scan_or_Empty,0,False
"167994-35845","20220522_167994-35845.pdf",200,8729,Unknown,12,True
"1780-2224","20180607_1780-2224.pdf",1000,5675,Fretz_Format,6,True
"178857-178858","20180424_178857-178858.pdf",1886,8711,Fretz_Format,10,True
"178858-37023","20180424_178858-37023.pdf",1545,6749,Fretz_Format,7,True
"182097-182098","20230327_182097-182098.pdf",11980,10209,IKAS_Normal,9,True
"182098-13.181713","20230327_182098-13.181713.pdf",15885,11414,IKAS_Normal,8,True
"187483-80808","20250929_187483-80808.pdf",1184,6845,Fretz_Format,4,True
"187510-187500","20220516_187510-187500.pdf",315,6849,Fretz_Format,7,True
"187518-80628","20251001_187518-80628.pdf",1054,8012,Fretz_Format,7,True
"187535-79427","20220516_187535-79427.pdf",767,10761,Fretz_Format,14,True
"187540-77199","20250919_187540-77199.pdf",1768,12739,Fretz_Format,12,True
"1894-2210","20180607_1894-2210.pdf",869,5008,Fretz_Format,4,True
"190548-190549","20250916_190548-190549.pdf",959,5409,Fretz_Format,3,True
"190549-190550","20250916_190549-190550.pdf",958,5843,Fretz_Format,4,True
"190550-77592","20250916_190550-77592.pdf",1880,12173,Fretz_Format,10,True
"192166-10.192167","20240822_192166-10.192167.pdf",649,4081,Unknown,5,True
"192988-90736","20240620_192988-90736.pdf",465,7177,Fretz_Format,9,True
"196656-10.200329","20220520_196656-10.200329.pdf",131,6351,Unknown,10,True
"196678-691079","20220520_196678-691079.pdf",114,6167,Unknown,8,True
"2000-7317","20230907_2000-7317.pdf",1066,5912,Fretz_Format,3,True
"2111-3272","20230922_2111-3272.pdf",9957,21355,Fretz_Format,18,True
"2123-2212","20180607_2123-2212.pdf",1275,6402,Fretz_Format,8,True
"2176-4229","20230921_2176-4229.pdf",879,7718,Fretz_Format,4,True
"2198-7402","20200709_2198-7402.pdf",1552,6084,Fretz_Format,2,True
"2199-2198","2020709_2199-2198.pdf",2115,6014,Fretz_Format,2,True
"2200-2199","20200709_2200-2199.pdf",1532,5725,Fretz_Format,2,True
"2201-2200","20200702_2201-2200.pdf",1573,5827,Fretz_Format,2,True
"2202-06.8360","20230915_2202-06.8360.pdf",7103,18663,Fretz_Format,21,True
"2202.01-2202","20230915_2202.01-2202.pdf",3414,9774,Fretz_Format,11,True
"2203-2204","20200609_2203-2204.pdf",1190,5464,Fretz_Format,8,True
"2203-7.7077","20200609_2203-7.7077.pdf",2759,10644,Fretz_Format,14,True
"2207-2221","20230913_2207-2221.pdf",4277,13813,Fretz_Format,11,True
"2210-240989","20180607_2210-240989.pdf",2128,8331,Fretz_Format,10,True
"2212-1894","20180607_2212-1894.pdf",938,5009,Fretz_Format,4,True
"22165-22614","20140520_22165-22614.pdf",326,4284,Unknown,2,True
"2220-955500","20230913_2220-955500.pdf",1978,7667,Fretz_Format,6,True
"2221-2868","20230913_2221-2868.pdf",1185,5884,Fretz_Format,3,True
"2224-2123","20180607_2224-2123.pdf",420,4488,Fretz_Format,5,True
"2265-2274","20230918_2265-2274.pdf",776,8200,Fretz_Format,6,True
"2266-2.1552L","20230920_2266-2.1552L.pdf",2222,5996,Fretz_Format,3,True
"2266-2.1552R","20230920_2266-2.1552R.pdf",2230,6002,Fretz_Format,3,True
"2267-2266","20230920_2267-2266.pdf",460,5351,Fretz_Format,2,True
"2272-2273","20230918_2272-2273.pdf",695,7307,Fretz_Format,4,True
